Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS,,,,,,
GAFFNEY R.F.; MAGUIRE T.O.,USE OF OPTICALLY SCORED TEST ANSWER SHEETS WITH YOUNG CHILDREN,1971,8,"['OPTICALLY', 'score', 'ANSWER', 'sheets', 'young', 'CHILDREN']","['optically', 'score', 'answer', 'sheets', 'young', 'children']",optically score answer sheets young children,optically; score; answer; sheets; young; children,,,,,,
VEAL L.R.; BIESBROCK E.F.,PRIMARY ESSAY TESTS,1971,8,"['PRIMARY', 'ESSAY']","['primary', 'essay']",primary essay,primary; essay,,,,,,
GLUSKINOS U.M.,CRITERIA FOR STUDENT ENGINEERING CREATIVITY AND THEIR RELATIONSHIP TO COLLEGE GRADES,1971,8,"['CRITERIA', 'student', 'engineering', 'CREATIVITY', 'RELATIONSHIP', 'COLLEGE', 'GRADES']","['criteria', 'student', 'engineering', 'creativity', 'relationship', 'college', 'grades']",criteria student engineering creativity relationship college grades,criteria; student; engineering; creativity; relationship; college; grades,,,,,,
JACOBS S.S.,CORRELATES OF UNWARRANTED CONFIDENCE IN RESPONSES TO OBJECTIVE TEST ITEMS,1971,8,"['correlate', 'unwarranted', 'confidence', 'response', 'objective', 'ITEMS']","['correlate', 'unwarranted', 'confidence', 'response', 'objective', 'items']",correlate unwarranted confidence response objective items,correlate; unwarranted; confidence; response; objective; items,,,,,,
FARR R.; ROELKE P.,"MEASURING SUBSKILLS OF READING: INTERCORRELATIONS BETWEEN STANDARDIZED READING TESTS, TEACHERS??RATINGS, AND READING SPECIALISTS??RATINGS",1971,8,"['measure', 'subskill', 'read', 'intercorrelation', 'standardized', 'read', 'TESTS', 'teacher', ""'"", 'rating', 'read', 'SPECIALISTS', ""'"", 'rating']","['measure', 'subskill', 'read', 'intercorrelation', 'standardized', 'read', 'tests', 'teacher', ""'"", 'rating', 'read', 'specialists', ""'"", 'rating']",measure subskill read intercorrelation standardized read tests teacher ' rating read specialists ' rating,measure; subskill; read; intercorrelation; standardized; read; tests; teacher; '; rating; read; specialists; '; rating,,,,,,
LOEB J.; FERBER M.,SEX AS PREDICTIVE OF SALARY AND STATUS ON A UNIVERSITY FACULTY,1971,8,"['sex', 'predictive', 'salary', 'STATUS', 'ON', 'A', 'UNIVERSITY', 'FACULTY']","['sex', 'predictive', 'salary', 'status', 'on', 'a', 'university', 'faculty']",sex predictive salary status on a university faculty,sex; predictive; salary; status; on; a; university; faculty,,,,,,
MARKS E.; LINDSAY C.A.,SOME RESULTS RELATING TO TEST EQUATING UNDER RELAXED TEST FORM EQUIVALENCE,1972,9,"['result', 'relate', 'equating', 'RELAXED', 'form', 'equivalence']","['result', 'relate', 'equating', 'relaxed', 'form', 'equivalence']",result relate equating relaxed form equivalence,result; relate; equating; relaxed; form; equivalence,,,,,,
HANSEN R.,THE INFLUENCE OF VARIABLES OTHER THAN KNOWLEDGE ON PROBABILISTIC TESTS,1971,8,"['INFLUENCE', 'VARIABLES', 'KNOWLEDGE', 'ON', 'PROBABILISTIC']","['influence', 'variables', 'knowledge', 'on', 'probabilistic']",influence variables knowledge on probabilistic,influence; variables; knowledge; on; probabilistic,,,,,,
COLLET L.S.,ELIMINATION SCORING: AN EMPIRICAL EVALUATION,1971,8,"['elimination', 'SCORING', 'EMPIRICAL', 'evaluation']","['elimination', 'scoring', 'empirical', 'evaluation']",elimination scoring empirical evaluation,elimination; scoring; empirical; evaluation,,,,,,
SHOEMAKER D.M.,AN APPLICATION OF ITEM?êEXAMINEE SAMPLING TO SCALING ATTITUDES,1971,8,"['application', 'ITEM?êEXAMINEE', 'sample', 'SCALING', 'ATTITUDES']","['application', 'item-examinee', 'sample', 'scaling', 'attitudes']",application item-examinee sample scaling attitudes,application; item-examinee; sample; scaling; attitudes,,,,,,
BRANDENBURG D.C.; WHITNEY D.R.,MATCHED PAIR TRUE?êFALSE SCORING: EFFECT ON RELIABILITY AND VALIDITY,1972,9,"['MATCHED', 'PAIR', 'true-false', 'SCORING', 'effect', 'RELIABILITY', 'VALIDITY']","['matched', 'pair', 'true-false', 'scoring', 'effect', 'reliability', 'validity']",matched pair true-false scoring effect reliability validity,matched; pair; true-false; scoring; effect; reliability; validity,,,,,,
D'AGOSTINO R.B.,A SECOND LOOK AT ANALYSIS OF VARIANCE ON DICHOTOMOUS DATA,1971,8,"['second', 'look', 'ANALYSIS', 'VARIANCE', 'ON', 'dichotomous', 'datum']","['second', 'look', 'analysis', 'variance', 'on', 'dichotomous', 'datum']",second look analysis variance on dichotomous datum,second; look; analysis; variance; on; dichotomous; datum,,,,,,
REED C.L.; FELDHUSEN J.F.; VAN MONDFRANS A.P.,PREDICTION OF GRADE POINT AVERAGES IN NURSING SCHOOLS USING SECOND?êORDER MULTIPLE REGRESSION MODELS,1972,9,"['prediction', 'GRADE', 'point', 'AVERAGES', 'nursing', 'SCHOOLS', 'SECOND?êORDER', 'MULTIPLE', 'regression']","['prediction', 'grade', 'point', 'averages', 'nursing', 'schools', 'second-order', 'multiple', 'regression']",prediction grade point averages nursing schools second-order multiple regression,prediction; grade; point; averages; nursing; schools; second-order; multiple; regression,,,,,,
LINN R.L.; WERTS C.E.,CONSIDERATIONS FOR STUDIES OF TEST BIAS,1971,8,"['consideration', 'study', 'BIAS']","['consideration', 'study', 'bias']",consideration study bias,consideration; study; bias,,,,,,
BERDIE F.S.,WHAT TEST QUESTIONS ARE LIKELY TO OFFEND THE GENERAL PUBLIC,1971,8,"['question', 'likely', 'offend', 'GENERAL', 'PUBLIC']","['question', 'likely', 'offend', 'general', 'public']",question likely offend general public,question; likely; offend; general; public,,,,,,
STALLINGS W.M.; SMOCK H.R.,THE PASS?êFAIL GRADING OPTION AT A STATE UNIVERSITY: A FIVE SEMESTER EVALUATION,1971,8,"['PASS?êFAIL', 'GRADING', 'option', 'state', 'UNIVERSITY', 'FIVE', 'SEMESTER', 'evaluation']","['pass-fail', 'grading', 'option', 'state', 'university', 'five', 'semester', 'evaluation']",pass-fail grading option state university five semester evaluation,pass-fail; grading; option; state; university; five; semester; evaluation,,,,,,
McMORRIS R.F.; AMBROSINO R.J.,SELF?êREPORT PREDICTORS: A REMINDER,1973,10,"['SELF?êREPORT', 'predictors', 'reminder']","['self; ceport', 'predictors', 'reminder']",self; ceport predictors reminder,self; ceport; predictors; reminder,,,,,,
KATZ M.; NORRIS L.,THE CONTRIBUTION OF ACADEMIC INTEREST MEASURES TO THE DIFFERENTIAL PREDICTION OF MARKS,1972,9,"['contribution', 'ACADEMIC', 'interest', 'MEASURES', 'differential', 'PREDICTION', 'marks']","['contribution', 'academic', 'interest', 'measures', 'differential', 'prediction', 'marks']",contribution academic interest measures differential prediction marks,contribution; academic; interest; measures; differential; prediction; marks,,,,,,
BOARD C.; WHITNEY D.R.,"THE EFFECT OF SELECTED POOR ITEM?êWRITING PRACTICES ON TEST DIFFICULTY, RELIABILITY AND VALIDITY",1972,9,"['effect', 'select', 'POOR', 'item?êwriting', 'practice', 'difficulty', 'RELIABILITY', 'VALIDITY']","['effect', 'select', 'poor', 'item?êwriting', 'practice', 'difficulty', 'reliability', 'validity']",effect select poor item?êwriting practice difficulty reliability validity,effect; select; poor; item?êwriting; practice; difficulty; reliability; validity,,,,,,
BAIRD L.L.,THE FUNCTIONS OF COLLEGE ENVIRONMENTAL MEASURES,1971,8,"['function', 'COLLEGE', 'environmental', 'MEASURES']","['function', 'college', 'environmental', 'measures']",function college environmental measures,function; college; environmental; measures,,,,,,
SPEEDIE S.M.; ASHER J.W.; TREFFINGER D.J.,COMMENT ON ?úFLUENCY AS A PERVASIVE ELEMENT IN THE MEASUREMENT OF CREATIVITY??1971,8,"['comment', '""', 'FLUENCY', 'pervasive', 'element', 'CREATIVITY', '""']","['comment', '""', 'fluency', 'pervasive', 'element', 'creativity', '""']","comment "" fluency pervasive element creativity ""","comment; ""; fluency; pervasive; element; creativity; """,,,,,,,
JENKINS J.R.; BAUSELL R.B.; MAGOON A.J.,SELECTION OF PROSE MATERIAL FOR TESTING,1972,9,"['selection', 'PROSE', 'MATERIAL', 'testing']","['selection', 'prose', 'material', 'testing']",selection prose material testing,selection; prose; material; testing,,,,,,
AKEJU S.A.,THE RELIABILITY OF GENERAL CERTIFICATE OF EDUCATION EXAMINATION ENGLISH COMPOSITION PAPERS IN WEST AFRICA,1972,9,"['RELIABILITY', 'general', 'certificate', 'EDUCATION', 'examination', 'ENGLISH', 'COMPOSITION', 'paper', 'WEST', 'AFRICA']","['reliability', 'general', 'certificate', 'education', 'examination', 'english', 'composition', 'paper', 'west', 'africa']",reliability general certificate education examination english composition paper west africa,reliability; general; certificate; education; examination; english; composition; paper; west; africa,,,,,,
THORNDIKE R.L.,CONCEPTS OF CULTURE?êFAIRNESS,1971,8,"['CONCEPTS', 'CULTURE?êFAIRNESS']","['concepts', 'culture-fairness']",concepts culture-fairness,concepts; culture-fairness,,,,,,
WILSON R.C.; DIENST E.R.; WATSON N.L.,CHARACTERISTICS OF EFFECTIVE COLLEGE TEACHERS AS PERCEIVED BY THEIR COLLEAGUES,1973,10,"['CHARACTERISTICS', 'effective', 'COLLEGE', 'teacher', 'PERCEIVED', 'colleagues']","['characteristics', 'effective', 'college', 'teacher', 'perceived', 'colleagues']",characteristics effective college teacher perceived colleagues,characteristics; effective; college; teacher; perceived; colleagues,,,,,,
BUNDA M.A.,AN INVESTIGATION OF AN EXTENSION OF ITEM SAMPLING WHICH YIELDS INDIVIDUAL SCORES,1973,10,"['investigation', 'extension', 'item', 'SAMPLING', 'yields', 'INDIVIDUAL', 'SCORES']","['investigation', 'extension', 'item', 'sampling', 'yields', 'individual', 'scores']",investigation extension item sampling yields individual scores,investigation; extension; item; sampling; yields; individual; scores,,,,,,
PAGE E.B.,SEEKING A MEASURE OF GENERAL EDUCATIONAL ADVANCEMENT: THE BENTEE,1972,9,"['seek', 'measure', 'GENERAL', 'EDUCATIONAL', 'ADVANCEMENT', 'BENTEE']","['seek', 'measure', 'general', 'educational', 'advancement', 'bentee']",seek measure general educational advancement bentee,seek; measure; general; educational; advancement; bentee,,,,,,
KALLINGAL A.,THE PREDICTION OF GRADES FOR BLACK AND WHITE STUDENTS AT MICHIGAN STATE UNIVERSITY,1971,8,"['prediction', 'GRADES', 'BLACK', 'white', 'student', 'MICHIGAN', 'STATE', 'UNIVERSITY']","['prediction', 'grades', 'black', 'white', 'student', 'michigan', 'state', 'university']",prediction grades black white student michigan state university,prediction; grades; black; white; student; michigan; state; university,,,,,,
ROSSMAN B.B.; HORN J.L.,"COGNITIVE, MOTIVATIONAL AND TEMPERAMENTAL INDICANTS OF CREATIVITY AND INTELLIGENCE",1972,9,"['cognitive', 'motivational', 'temperamental', 'indicant', 'CREATIVITY', 'intelligence']","['cognitive', 'motivational', 'temperamental', 'indicant', 'creativity', 'intelligence']",cognitive motivational temperamental indicant creativity intelligence,cognitive; motivational; temperamental; indicant; creativity; intelligence,,,,,,
"CARVER R.P.; DARBY C.A., JR.",DEVELOPMENT AND EVALUATION OF A TEST OF INFORMATION STORAGE DURING READING,1971,8,"['DEVELOPMENT', 'evaluation', 'information', 'storage', 'read']","['development', 'evaluation', 'information', 'storage', 'read']",development evaluation information storage read,development; evaluation; information; storage; read,,,,,,
LORD F.M.,THE SELF?êSCORING FLEXILEVEL TEST,1971,8,"['SELF?êSCORING', 'FLEXILEVEL']","['self-scoring', 'flexilevel']",self-scoring flexilevel,self-scoring; flexilevel,,,,,,
QUERESHI M.Y.,NOTE ON THE PEARSON r AS A FUNCTION OF THE BIVARIATE DISTRIBUTIONAL CHARACTERISTICS,1971,8,"['note', 'PEARSON', 'r', 'function', 'BIVARIATE', 'DISTRIBUTIONAL', 'CHARACTERISTICS']","['note', 'pearson', 'r', 'function', 'bivariate', 'distributional', 'characteristics']",note pearson r function bivariate distributional characteristics,note; pearson; r; function; bivariate; distributional; characteristics,,,,,,
HARTNETT R.T.,A NOTE ON THE COMPARABILITY OF ALTERNATIVE SCORING METHODS FOR THE INSTITUTIONAL FUNCTIONING INVENTORY,1971,8,"['note', 'COMPARABILITY', 'alternative', 'SCORING', 'METHODS', 'institutional', 'function', 'INVENTORY']","['note', 'comparability', 'alternative', 'scoring', 'methods', 'institutional', 'function', 'inventory']",note comparability alternative scoring methods institutional function inventory,note; comparability; alternative; scoring; methods; institutional; function; inventory,,,,,,
SHAVELSON R.J.; BLOCK J.H.; RAVITCH M.M.,CRITERION?êREFERENCED TESTING: COMMENTS ON RELIABILITY,1972,9,"['criterion; ceferenced', 'testing', 'comment', 'RELIABILITY']","['criterion; ceferenced', 'testing', 'comment', 'reliability']",criterion; ceferenced testing comment reliability,criterion; ceferenced; testing; comment; reliability,,,,,,
DARLINGTON R.B.,ANOTHER LOOK AT ?úCULTURAL FAIRNESS??1971,8,"['look', '""', 'cultural', 'FAIRNESS', '""']","['look', '""', 'cultural', 'fairness', '""']","look "" cultural fairness ""","look; ""; cultural; fairness; """,,,,,,,
MERWIN J.C.,EDUCATIONAL MEASUREMENT OF WHAT CHARACTERISTIC OF WHOM (OR WHAT) BY WHOM AND WHY,1973,10,"['educational', 'CHARACTERISTIC', 'WHOM']","['educational', 'characteristic', 'whom']",educational characteristic whom,educational; characteristic; whom,,,,,,
LIVINGSTON S.A.,"REPLY TO SHAVELSON, BLOCK, AND RAVITCH'S ?úCRITERION?êREFERENCED TESTING: COMMENTS ON RELIABILITY??,1972,9,['reply'", 'shavelson', 'block', 'RAVITCHS'," '""""'", 'CRITERION?êREFERENCED', 'testing', 'comment', 'RELIABILITY'," '""""']""","['reply', 'shavelson', 'block', 'ravitchs', '""', 'criterion; ceferenced', 'testing', 'comment', 'reliability', '""']","reply shavelson block ravitchs "" criterion; ceferenced testing comment reliability ""","reply; shavelson; block; ravitchs; ""; criterion; ceferenced; testing; comment; reliability; """
MULLER D.; CALHOUN E.; ORLING R.,TEST RELIABILITY AS A FUNCTION OF ANSWER SHEET MODE,1972,9,"['RELIABILITY', 'function', 'ANSWER', 'SHEET', 'MODE']","['reliability', 'function', 'answer', 'sheet', 'mode']",reliability function answer sheet mode,reliability; function; answer; sheet; mode,,,,,,
LIVINGSTON S.A.,A REPLY TO HARRIS ?úAN INTERPRETATION OF LIVINGSTON'S RELIABILITY COEFFICIENT FOR CRITERION?êREFERENCED TESTS??1972,9,"['reply', 'HARRIS', '""', 'interpretation', 'livingston', 'RELIABILITY', 'COEFFICIENT', 'criterion; ceferenced', '""']","['reply', 'harris', '""', 'interpretation', 'livingston', 'reliability', 'coefficient', 'criterion; ceferenced', '""']","reply harris "" interpretation livingston reliability coefficient criterion; ceferenced ""","reply; harris; ""; interpretation; livingston; reliability; coefficient; criterion; ceferenced; """,,,,,,,
McMORRIS R.F.,EVIDENCE ON THE QUALITY OF SEVERAL APPROXIMATIONS FOR COMMONLY USED MEASUREMENT STATISTICS,1972,9,"['evidence', 'QUALITY', 'APPROXIMATIONS', 'COMMONLY', 'statistics']","['evidence', 'quality', 'approximations', 'commonly', 'statistics']",evidence quality approximations commonly statistics,evidence; quality; approximations; commonly; statistics,,,,,,
RAMSEYER G.C.; CASHEN V.M.,THE EFFECT OF PRACTICE SESSIONS ON THE USE OF SEPARATE ANSWER SHEETS BY FIRST AND SECOND GRADERS,1971,8,"['effect', 'practice', 'session', 'separate', 'answer', 'sheets', 'second', 'grader']","['effect', 'practice', 'session', 'separate', 'answer', 'sheets', 'second', 'grader']",effect practice session separate answer sheets second grader,effect; practice; session; separate; answer; sheets; second; grader,,,,,,
McMORRIS R.F.; BROWN J.A.; SNYDER G.W.; PRUZEK R.M.,EFFECTS OF VIOLATING ITEM CONSTRUCTION PRINCIPLES,1972,9,"['effect', 'violate', 'ITEM', 'construction', 'principle']","['effect', 'violate', 'item', 'construction', 'principle']",effect violate item construction principle,effect; violate; item; construction; principle,,,,,,
EBEL R.L.,EVALUATION AND EDUCATIONAL OBJECTIVES,1973,10,"['EVALUATION', 'EDUCATIONAL', 'objective']","['evaluation', 'educational', 'objective']",evaluation educational objective,evaluation; educational; objective,,,,,,
STALLINGS W.M.; GILLMORE G.M.,A NOTE ON ?úACCURACY??AND ?úPRECISION??1971,8,"['note', 'ON', '""', 'ACCURACY', '""', '""', 'precision', '""']","['note', 'on', '""', 'accuracy', '""', '""', 'precision', '""']","note on "" accuracy "" "" precision ""","note; on; ""; accuracy; ""; ""; precision; """,,,,,,,
FORSYTH R.A.,SOME EMPIRICAL RESULTS RELATED TO THE STABILITY OF PERFORMANCE INDICATORS IN DYER'S STUDENT CHANGE MODEL OF AN EDUCATIONAL SYSTEM,1973,10,"['EMPIRICAL', 'result', 'relate', 'STABILITY', 'performance', 'indicator', 'DYERS', 'student', 'change', 'EDUCATIONAL', 'system']","['empirical', 'result', 'relate', 'stability', 'performance', 'indicator', 'dyers', 'student', 'change', 'educational', 'system']",empirical result relate stability performance indicator dyers student change educational system,empirical; result; relate; stability; performance; indicator; dyers; student; change; educational; system,,,,,,
DIAMOND J.J.; EVANS W.J.,AN INVESTIGATION OF THE COGNITIVE CORRELATES OF TEST?êWISENESS,1972,9,"['investigation', 'COGNITIVE', 'correlate', 'test?êwiseness']","['investigation', 'cognitive', 'correlate', 'test?êwiseness']",investigation cognitive correlate test?êwiseness,investigation; cognitive; correlate; test?êwiseness,,,,,,
MENNE J.W.; TOLSMA R.J.,A DISCRIMINATION INDEX FOR ITEMS IN INSTRUMENTS USING GROUP RESPONSES,1971,8,"['discrimination', 'INDEX', 'items', 'instrument', 'GROUP', 'response']","['discrimination', 'index', 'items', 'instrument', 'group', 'response']",discrimination index items instrument group response,discrimination; index; items; instrument; group; response,,,,,,
REILING E.; TAYLOR R.,A NEW APPROACH TO THE PROBLEM OF CHANGING INITIAL RESPONSES TO MULTIPLE CHOICE QUESTIONS,1972,9,"['new', 'approach', 'problem', 'change', 'initial', 'response', 'multiple', 'choice', 'question']","['new', 'approach', 'problem', 'change', 'initial', 'response', 'multiple', 'choice', 'question']",new approach problem change initial response multiple choice question,new; approach; problem; change; initial; response; multiple; choice; question,,,,,,
LIVINGSTON S.A.,A NOTE ON THE INTERPRETATION OF THE CRITERION?êREFERENCED RELIABILITY COEFFICIENT,1973,10,"['note', 'interpretation', 'CRITERION?êREFERENCED', 'RELIABILITY', 'COEFFICIENT']","['note', 'interpretation', 'criterion; ceferenced', 'reliability', 'coefficient']",note interpretation criterion; ceferenced reliability coefficient,note; interpretation; criterion; ceferenced; reliability; coefficient,,,,,,
BARCIKOWSKI R.S.,A MONTE CARLO STUDY OF ITEM SAMPLING (VERSUS TRADITIONAL SAMPLING) FOR NORM CONSTRUCTION,1972,9,"['MONTE', 'CARLO', 'study', 'ITEM', 'SAMPLING', 'versus', 'TRADITIONAL', 'sampling', 'NORM', 'construction']","['monte', 'carlo', 'study', 'item', 'sampling', 'versus', 'traditional', 'sampling', 'norm', 'construction']",monte carlo study item sampling versus traditional sampling norm construction,monte; carlo; study; item; sampling; versus; traditional; sampling; norm; construction,,,,,,
HUCK S.W.; BOWERS N.D.,ITEM DIFFICULTY LEVEL AND SEQUENCE EFFECTS IN MULTIPLE?êCHOICE ACHIEVEMENT TESTS,1972,9,"['ITEM', 'DIFFICULTY', 'LEVEL', 'sequence', 'effect', 'MULTIPLE?êCHOICE', 'achievement']","['item', 'difficulty', 'level', 'sequence', 'effect', 'multiple choice', 'achievement']",item difficulty level sequence effect multiple choice achievement,item; difficulty; level; sequence; effect; multiple choice; achievement,,,,,,
SABERS D.L.; KLAUSMEIER R.D.,ACCURACY OF SHORT?êCUT ESTIMATES FOR STANDARD DEVIATION,1971,8,"['ACCURACY', 'short-cut', 'estimate', 'standard', 'deviation']","['accuracy', 'short-cut', 'estimate', 'standard', 'deviation']",accuracy short-cut estimate standard deviation,accuracy; short-cut; estimate; standard; deviation,,,,,,
BOLEA A.S.; FELKER D.W.; BARNES M.D.,A PICTORIAL SELF?êCONCEPT SCALE FOR CHILDREN IN K??,1971,8,"['PICTORIAL', 'SELF?êCONCEPT', 'SCALE', 'child', 'k??']","['pictorial', 'self-concept', 'scale', 'child', 'k??']",pictorial self-concept scale child k??,pictorial; self-concept; scale; child; k??,,,,,,
LINDSAY C.A.; PRICHARD M.A.,AN ANALYTICAL PROCEDURE FOR THE EQUIPERCENTILE METHOD OF EQUATING TESTS,1971,8,"['ANALYTICAL', 'procedure', 'EQUIPERCENTILE', 'METHOD', 'EQUATING']","['analytical', 'procedure', 'equipercentile', 'method', 'equating']",analytical procedure equipercentile method equating,analytical; procedure; equipercentile; method; equating,,,,,,
BIGGS J.B.; BRAUN P.H.,MODELS OF EVALUATION AND THEIR RELATION TO STUDENT CHARACTERISTICS,1972,9,"['evaluation', 'RELATION', 'student', 'CHARACTERISTICS']","['evaluation', 'relation', 'student', 'characteristics']",evaluation relation student characteristics,evaluation; relation; student; characteristics,,,,,,
HENDRICKSON G.F.,THE EFFECT OF DIFFERENTIAL OPTION WEIGHTING ON MULTIPLE?êCHOICE OBJECTIVE TESTS,1971,8,"['effect', 'differential', 'option', 'weighting', 'ON', 'MULTIPLE?êCHOICE', 'objective']","['effect', 'differential', 'option', 'weighting', 'on', 'multiple choice', 'objective']",effect differential option weighting on multiple choice objective,effect; differential; option; weighting; on; multiple choice; objective,,,,,,
PHILLIPS B.N.,SCHOOL STRESS AS A FACTOR IN CHILDREN'S RESPONSES TO TESTS AND TESTING,1971,8,"['school', 'stress', 'factor', 'childrens', 'response']","['school', 'stress', 'factor', 'childrens', 'response']",school stress factor childrens response,school; stress; factor; childrens; response,,,,,,
SOLOMON A.,THE EFFECT OF ANSWER SHEET FORMAT ON TEST PERFORMANCE BY CULTURALLY DISADVANTAGED FOURTH GRADE ELEMENTARY SCHOOL PUPILS,1971,8,"['effect', 'ANSWER', 'SHEET', 'FORMAT', 'ON', 'performance', 'CULTURALLY', 'DISADVANTAGED', 'FOURTH', 'GRADE', 'ELEMENTARY', 'SCHOOL', 'PUPILS']","['effect', 'answer', 'sheet', 'format', 'on', 'performance', 'culturally', 'disadvantaged', 'fourth', 'grade', 'elementary', 'school', 'pupils']",effect answer sheet format on performance culturally disadvantaged fourth grade elementary school pupils,effect; answer; sheet; format; on; performance; culturally; disadvantaged; fourth; grade; elementary; school; pupils,,,,,,
LIVINGSTON S.A.,CRITERION?êREFERENCED APPLICATIONS OF CLASSICAL TEST THEORY,1972,9,"['criterion; ceferenced', 'application', 'CLASSICAL', 'THEORY']","['criterion; ceferenced', 'application', 'classical', 'theory']",criterion; ceferenced application classical theory,criterion; ceferenced; application; classical; theory,,,,,,
WOLFE J.M.,A SIMPLE METHOD OF CALCULATING THE COEFFICIENT OF CORRELATION,1971,8,"['SIMPLE', 'METHOD', 'calculate', 'COEFFICIENT', 'correlation']","['simple', 'method', 'calculate', 'coefficient', 'correlation']",simple method calculate coefficient correlation,simple; method; calculate; coefficient; correlation,,,,,,
COLE N.S.,BIAS IN SELECTION,1973,10,"['bias', 'selection']","['bias', 'selection']",bias selection,bias; selection,,,,,,
BREWER J.K.; OWEN P.W.,A NOTE ON THE POWER OF STATISTICAL TESTS IN THE JOURNAL OF EDUCATIONAL MEASUREMENT,1973,10,"['note', 'power', 'statistical', 'JOURNAL', 'EDUCATIONAL']","['note', 'power', 'statistical', 'journal', 'educational']",note power statistical journal educational,note; power; statistical; journal; educational,,,,,,
SLOTNICK H.B.,TOWARD A THEORY OF COMPUTER ESSAY GRADING,1972,9,"['theory', 'COMPUTER', 'ESSAY', 'GRADING']","['theory', 'computer', 'essay', 'grading']",theory computer essay grading,theory; computer; essay; grading,,,,,,
SHOEMAKER D.M.,FURTHER RESULTS ON THE STANDARD ERRORS OF ESTIMATE ASSOCIATED WITH ITEM?êEXAMINEE SAMPLING PROCEDURES,1971,8,"['result', 'standard', 'ERRORS', 'estimate', 'associate', 'ITEM?êEXAMINEE', 'SAMPLING', 'PROCEDURES']","['result', 'standard', 'errors', 'estimate', 'associate', 'item-examinee', 'sampling', 'procedures']",result standard errors estimate associate item-examinee sampling procedures,result; standard; errors; estimate; associate; item-examinee; sampling; procedures,,,,,,
JUDY C.J.,A PROPOSED TECHNIQUE FOR IMPROVING PREDICTION OF COLLEGE GRADES USING MORE INFORMATION FROM THE HIGH SCHOOL RECORD,1971,8,"['proposed', 'TECHNIQUE', 'improve', 'PREDICTION', 'COLLEGE', 'GRADES', 'MORE', 'information', 'high', 'SCHOOL', 'record']","['proposed', 'technique', 'improve', 'prediction', 'college', 'grades', 'more', 'information', 'high', 'school', 'record']",proposed technique improve prediction college grades more information high school record,proposed; technique; improve; prediction; college; grades; more; information; high; school; record,,,,,,
HARRIS W.S.,AGREEMENT AMONG NCME MEMBERS ON SELECTED ISSUES IN EDUCATIONAL MEASUREMENT,1973,10,"['agreement', 'NCME', 'member', 'ON', 'SELECTED', 'ISSUES', 'EDUCATIONAL']","['agreement', 'ncme', 'member', 'on', 'selected', 'issues', 'educational']",agreement ncme member on selected issues educational,agreement; ncme; member; on; selected; issues; educational,,,,,,
"MITCHELL J.V., JR.",THE INFLUENCE OF A DESIRABILITY HALO EFFECT ON RATINGS OF INSTITUTIONAL ENVIRONMENT,1973,10,"['influence', 'DESIRABILITY', 'HALO', 'effect', 'ON', 'RATINGS', 'INSTITUTIONAL', 'ENVIRONMENT']","['influence', 'desirability', 'halo', 'effect', 'on', 'ratings', 'institutional', 'environment']",influence desirability halo effect on ratings institutional environment,influence; desirability; halo; effect; on; ratings; institutional; environment,,,,,,
HOGAN T.P.,PREDICTION OF WITHIN?êSCHOOL SYSTEM VARIANCE IN TEST SCORES FROM WITHIN?êCOMMUNITY VARIANCE IN SOCIOECONOMIC STATUS,1972,9,"['prediction', 'WITHIN?êSCHOOL', 'SYSTEM', 'VARIANCE', 'SCORES', 'WITHIN?êCOMMUNITY', 'VARIANCE', 'SOCIOECONOMIC', 'STATUS']","['prediction', 'within-school', 'system', 'variance', 'scores', 'within-community', 'variance', 'socioeconomic', 'status']",prediction within-school system variance scores within-community variance socioeconomic status,prediction; within-school; system; variance; scores; within-community; variance; socioeconomic; status,,,,,,
LEWY A.,DISCRIMINATION AMONG INDIVIDUALS V. DISCRIMINATION AMONG GROUPS,1973,10,"['discrimination', 'individual', 'v', 'discrimination', 'GROUPS']","['discrimination', 'individual', 'v', 'discrimination', 'groups']",discrimination individual v discrimination groups,discrimination; individual; v; discrimination; groups,,,,,,
NIEDERMEYER F.C.; SULLIVAN H.J.,DIFFERENTIAL EFFECTS OF INDIVIDUAL AND GROUP TESTING STRATEGIES IN AN OBJECTIVES?êBASED INSTRUCTIONAL PROGRAM,1972,9,"['differential', 'effect', 'INDIVIDUAL', 'GROUP', 'strategy', 'OBJECTIVES?êBASED', 'INSTRUCTIONAL', 'program']","['differential', 'effect', 'individual', 'group', 'strategy', 'objectives?-based', 'instructional', 'program']",differential effect individual group strategy objectives?-based instructional program,differential; effect; individual; group; strategy; objectives?-based; instructional; program,,,,,,
WIERSMA W.,A CROSS?êNATIONAL COMPARISON OF ACADEMIC AND AFFECTIVE CHARACTERISTICS OF PROSPECTIVE SECONDARY SCHOOL TEACHERS,1972,9,"['cross?ênational', 'comparison', 'academic', 'AFFECTIVE', 'CHARACTERISTICS', 'PROSPECTIVE', 'SECONDARY', 'SCHOOL', 'teacher']","['cross?ênational', 'comparison', 'academic', 'affective', 'characteristics', 'prospective', 'secondary', 'school', 'teacher']",cross?ênational comparison academic affective characteristics prospective secondary school teacher,cross?ênational; comparison; academic; affective; characteristics; prospective; secondary; school; teacher,,,,,,
