Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_com,T_tokens_join,T_tokens_VOS
Willingham W.W.,AN EMPIRICAL EVALUATION OF THREE TYPES OF COLLEGE GRADE SCALES,1964,1,"['EMPIRICAL', 'evaluation', 'type', 'COLLEGE', 'GRADE', 'scale']","['empirical', 'evaluation', 'type', 'college', 'grade', 'scale']","empirical, evaluation, type, college, grade, scale",empirical evaluation type college grade scale,empirical; evaluation; type; college; grade; scale
Glass G.V.,HOW MAY SALIENCE OF A MEMBERSHIP GROUP BE INCREASED?,1964,1,"['MAY', 'SALIENCE', 'MEMBERSHIP', 'GROUP', 'increase']","['may', 'salience', 'membership', 'group', 'increase']","may, salience, membership, group, increase",may salience membership group increase,may; salience; membership; group; increase
Baker F.B.,AN INTERSECTION OF TEST SCORE INTERPRETATION AND ITEM ANALYSIS,1964,1,"['intersection', 'test', 'SCORE', 'INTERPRETATION', 'ITEM', 'ANALYSIS']","['intersection', 'test', 'score', 'interpretation', 'item', 'analysis']","intersection, test, score, interpretation, item, analysis",intersection test score interpretation item analysis,intersection; test; score; interpretation; item; analysis
Connolly J.A.; Wantman M.J.,AN EXPLORATION OF ORAL REASONING PROCESSES IN RESPONDING TO OBJECTIVE TEST ITEMS,1964,1,"['exploration', 'oral', 'reasoning', 'process', 'respond', 'objective', 'test', 'ITEMS']","['exploration', 'oral', 'reasoning', 'process', 'respond', 'objective', 'test', 'items']","exploration, oral, reasoning, process, respond, objective, test, items",exploration oral reasoning process respond objective test items,exploration; oral; reasoning; process; respond; objective; test; items
Lindquist E.F.,EQUATING SCORES ON NON‐PARALLEL TESTS,1964,1,"['EQUATING', 'SCORES', 'ON', 'NON‐PARALLEL', 'TESTS']","['equating', 'scores', 'on', 'non‐parallel', 'tests']","equating, scores, on, non‐parallel, tests",equating scores on non‐parallel tests,equating; scores; on; non‐parallel; tests
"Tillinghast B.S., Jr.",TEN POINTS TO CONSIDER IN MAKING TEST INTERPRETATIONS TO GROUPS,1964,1,"['point', 'consider', 'test', 'INTERPRETATIONS', 'GROUPS']","['point', 'consider', 'test', 'interpretations', 'groups']","point, consider, test, interpretations, groups",point consider test interpretations groups,point; consider; test; interpretations; groups
Juola A.E.,THE PREDICTION OF COLLEGE DROPOUT FROM FRESHMAN LEVEL ABILITY TEST SCORES,1964,1,"['PREDICTION', 'COLLEGE', 'DROPOUT', 'FRESHMAN', 'LEVEL', 'ABILITY', 'test', 'SCORES']","['prediction', 'college', 'dropout', 'freshman', 'level', 'ability', 'test', 'scores']","prediction, college, dropout, freshman, level, ability, test, scores",prediction college dropout freshman level ability test scores,prediction; college; dropout; freshman; level; ability; test; scores
Feldhusen J.F.,STUDENT PERCEPTIONS OF FREQUENT QUIZZES AND POST‐MORTEM DISCUSSIONS OF TESTS,1964,1,"['student', 'perception', 'frequent', 'quizzes', 'post‐mortem', 'discussion', 'test']","['student', 'perception', 'frequent', 'quizzes', 'post‐mortem', 'discussion', 'test']","student, perception, frequent, quizzes, post‐mortem, discussion, test",student perception frequent quizzes post‐mortem discussion test,student; perception; frequent; quizzes; post‐mortem; discussion; test
Pruzek R.M.,PREDICTION OF SUCCESS IN ELEMENTARY STATISTICS,1964,1,"['prediction', 'SUCCESS', 'ELEMENTARY', 'STATISTICS']","['prediction', 'success', 'elementary', 'statistics']","prediction, success, elementary, statistics",prediction success elementary statistics,prediction; success; elementary; statistics
Glass G.V.; Wiley D.E.,FORMULA SCORING AND TEST RELIABILITY,1964,1,"['formula', 'scoring', 'test', 'RELIABILITY']","['formula', 'scoring', 'test', 'reliability']","formula, scoring, test, reliability",formula scoring test reliability,formula; scoring; test; reliability
Engelhart M.D.,A COMPARISON OF SEVERAL ITEM DISCRIMINATION INDICES,1965,2,"['comparison', 'ITEM', 'discrimination', 'index']","['comparison', 'item', 'discrimination', 'index']","comparison, item, discrimination, index",comparison item discrimination index,comparison; item; discrimination; index
Flanagan J.C.,OBTAINING USEFUL COMPARABLE SCORES FOR NON‐PARALLEL TESTS AND TEST BATTERIES,1964,1,"['obtain', 'USEFUL', 'COMPARABLE', 'SCORES', 'non‐parallel', 'TESTS', 'test', 'battery']","['obtain', 'useful', 'comparable', 'scores', 'non‐parallel', 'tests', 'test', 'battery']","obtain, useful, comparable, scores, non‐parallel, tests, test, battery",obtain useful comparable scores non‐parallel tests test battery,obtain; useful; comparable; scores; non‐parallel; tests; test; battery
McKelpin J.P.,SOME IMPLICATIONS OF THE INTELLECTUAL CHARACTERISTICS OF FRESHMEN ENTERING A LIBERAL ARTS COLLEGE,1965,2,"['implication', 'INTELLECTUAL', 'CHARACTERISTICS', 'FRESHMEN', 'ENTERING', 'LIBERAL', 'ARTS', 'COLLEGE']","['implication', 'intellectual', 'characteristics', 'freshmen', 'entering', 'liberal', 'arts', 'college']","implication, intellectual, characteristics, freshmen, entering, liberal, arts, college",implication intellectual characteristics freshmen entering liberal arts college,implication; intellectual; characteristics; freshmen; entering; liberal; arts; college
Krauskopf C.J.,A CONSTRUCT VALIDATION OF A CLASSROOM TEST,1964,1,"['construct', 'validation', 'CLASSROOM', 'test']","['construct', 'validation', 'classroom', 'test']","construct, validation, classroom, test",construct validation classroom test,construct; validation; classroom; test
Loiselle H.G.,PRACTICAL NORMING CONSIDERATIONS AFFECTING TEST INTERPRETATION,1964,1,"['PRACTICAL', 'NORMING', 'consideration', 'affect', 'test', 'INTERPRETATION']","['practical', 'norming', 'consideration', 'affect', 'test', 'interpretation']","practical, norming, consideration, affect, test, interpretation",practical norming consideration affect test interpretation,practical; norming; consideration; affect; test; interpretation
French J.L.; Greer D.,EFFECT OF TEST‐ITEM ARRANGEMENT ON PHYSIOLOGICAL AND PSYCHOLOGICAL BEHAVIOR IN PRIMARY‐SCHOOL CHILDREN,1964,1,"['effect', 'TEST‐ITEM', 'arrangement', 'PHYSIOLOGICAL', 'psychological', 'behavior', 'PRIMARY‐SCHOOL', 'CHILDREN']","['effect', 'test‐item', 'arrangement', 'physiological', 'psychological', 'behavior', 'primary‐school', 'children']","effect, test‐item, arrangement, physiological, psychological, behavior, primary‐school, children",effect test‐item arrangement physiological psychological behavior primary‐school children,effect; test‐item; arrangement; physiological; psychological; behavior; primary‐school; children
Noll V.H.,IMPLICATIONS FOR POLICY OF THE NATIONAL COUNCIL ON MEASUREMENT IN EDUCATION OF CONANT'S THE EDUCATION OF AMERICAN TEACHERS,1964,1,"['implication', 'policy', 'NATIONAL', 'COUNCIL', 'ON', 'MEASUREMENT', 'conant', 'AMERICAN', 'teacher']","['implication', 'policy', 'national', 'council', 'on', 'measurement', 'conant', 'american', 'teacher']","implication, policy, national, council, on, measurement, conant, american, teacher",implication policy national council on measurement conant american teacher,implication; policy; national; council; on; measurement; conant; american; teacher
Stoker H.W.; Kropp R.P.,MEASUREMENT OF COGNITIVE PROCESSES,1964,1,"['MEASUREMENT', 'cognitive', 'process']","['measurement', 'cognitive', 'process']","measurement, cognitive, process",measurement cognitive process,measurement; cognitive; process
"Giles G.C., Jr.",PREDICTIVE VALIDITY OF PROGRESSIVE MATRICES AND TWO OTHER NONLANGUAGE TESTS OF MENTAL ABILITY,1964,1,"['predictive', 'VALIDITY', 'PROGRESSIVE', 'matrix', 'NONLANGUAGE', 'test', 'MENTAL', 'ABILITY']","['predictive', 'validity', 'progressive', 'matrix', 'nonlanguage', 'test', 'mental', 'ability']","predictive, validity, progressive, matrix, nonlanguage, test, mental, ability",predictive validity progressive matrix nonlanguage test mental ability,predictive; validity; progressive; matrix; nonlanguage; test; mental; ability
Bereiter C.,HOW MAY UNITS OF MEASUREMENT BE SAFELY IGNORED?,1964,1,"['MAY', 'unit', 'MEASUREMENT', 'SAFELY', 'ignore']","['may', 'unit', 'measurement', 'safely', 'ignore']","may, unit, measurement, safely, ignore",may unit measurement safely ignore,may; unit; measurement; safely; ignore
Lennon R.T.,EQUATING NON‐PARALLEL TESTS,1964,1,"['EQUATING', 'NON‐PARALLEL', 'TESTS']","['equating', 'non‐parallel', 'tests']","equating, non‐parallel, tests",equating non‐parallel tests,equating; non‐parallel; tests
Angoff W.H.,TECHNICAL PROBLEMS OF OBTAINING EQUIVALENT SCORES ON TESTS,1964,1,"['technical', 'problems', 'obtain', 'EQUIVALENT', 'scores', 'ON', 'TESTS']","['technical', 'problems', 'obtain', 'equivalent', 'scores', 'on', 'tests']","technical, problems, obtain, equivalent, scores, on, tests",technical problems obtain equivalent scores on tests,technical; problems; obtain; equivalent; scores; on; tests
Ebel R.L.,CONFIDENCE WEIGHTING AND TEST RELIABILITY,1965,2,"['confidence', 'WEIGHTING', 'test', 'RELIABILITY']","['confidence', 'weighting', 'test', 'reliability']","confidence, weighting, test, reliability",confidence weighting test reliability,confidence; weighting; test; reliability
Lord F.M.,AN EMPIRICAL COMPARISON OF THE VALIDITY OF CERTAIN FORMULA‐SCORES,1964,1,"['EMPIRICAL', 'comparison', 'VALIDITY', 'certain', 'formula‐scores']","['empirical', 'comparison', 'validity', 'certain', 'formula‐scores']","empirical, comparison, validity, certain, formula‐scores",empirical comparison validity certain formula‐scores,empirical; comparison; validity; certain; formula‐scores
Bloom R.; Dunn J.A.; Morse W.C.,DATA‐SOURCE CONSENSUS: A FUNDAMENTAL PROBLEM IN CLASSROOM RESEARCH,1964,1,"['DATA‐SOURCE', 'consensu', 'fundamental', 'problem', 'CLASSROOM', 'RESEARCH']","['data‐source', 'consensu', 'fundamental', 'problem', 'classroom', 'research']","data‐source, consensu, fundamental, problem, classroom, research",data‐source consensu fundamental problem classroom research,data‐source; consensu; fundamental; problem; classroom; research
Zimmerman W.S.,STATISTICAL PROBLEMS AND SOME RELATED ISSUES IN THE SELECTION OF ITEMS FOR TESTS OF CREATIVITY,1964,1,"['statistical', 'problems', 'related', 'issue', 'selection', 'items', 'test', 'CREATIVITY']","['statistical', 'problems', 'related', 'issue', 'selection', 'items', 'test', 'creativity']","statistical, problems, related, issue, selection, items, test, creativity",statistical problems related issue selection items test creativity,statistical; problems; related; issue; selection; items; test; creativity
Michael W.B.,THE MEASUREMENT OF CREATIVITY: OVERVIEW OF FOUR PAPERS,1964,1,"['CREATIVITY', 'OVERVIEW', 'paper']","['creativity', 'overview', 'paper']","creativity, overview, paper",creativity overview paper,creativity; overview; paper
Chase C.I.,RELATIVE LENGTH OF OPTIONS AND RESPONSE SET IN MULTIPLE CHOICE ITEMS,1964,1,"['RELATIVE', 'LENGTH', 'OPTIONS', 'RESPONSE', 'SET', 'multiple', 'choice', 'items']","['relative', 'length', 'options', 'response', 'set', 'multiple', 'choice', 'items']","relative, length, options, response, set, multiple, choice, items",relative length options response set multiple choice items,relative; length; options; response; set; multiple; choice; items
Denny T.; Paterson J.; Feldhusen J.,ANXIETY AND ACHIEVEMENT AS FUNCTIONS OF DAILY TESTING,1964,1,"['ANXIETY', 'ACHIEVEMENT', 'function', 'DAILY', 'testing']","['anxiety', 'achievement', 'function', 'daily', 'testing']","anxiety, achievement, function, daily, testing",anxiety achievement function daily testing,anxiety; achievement; function; daily; testing
Hills J.R.,PREDICTION OF COLLEGE GRADES FOR ALL PUBLIC COLLEGES OF A STATE,1964,1,"['prediction', 'COLLEGE', 'GRADES', 'PUBLIC', 'COLLEGES', 'state']","['prediction', 'college', 'grades', 'public', 'colleges', 'state']","prediction, college, grades, public, colleges, state",prediction college grades public colleges state,prediction; college; grades; public; colleges; state
Findley W.G.,WHEN AND HOW TO TEACH EDUCATIONAL MEASUREMENTS,1964,1,"['teach', 'EDUCATIONAL']","['teach', 'educational']","teach, educational",teach educational,teach; educational
Sassenrath J.; Kight H.; Kaiser H.F.,TING FACTORS FROM THE TEST ANXIETY AND GENERAL ANXIETY QUESTION‐ NAIRES AND THE MANIFEST ANXIETY SCALE BETWEEN TWO SAMPLES OF UNIVERSITY STUDENTS,1964,1,"['TING', 'FACTORS', 'test', 'ANXIETY', 'GENERAL', 'ANXIETY', 'question‐', 'NAIRES', 'MANIFEST', 'ANXIETY', 'SCALE', 'SAMPLES', 'UNIVERSITY', 'student']","['ting', 'factors', 'test', 'anxiety', 'general', 'anxiety', 'question‐', 'naires', 'manifest', 'anxiety', 'scale', 'samples', 'university', 'student']","ting, factors, test, anxiety, general, anxiety, question‐, naires, manifest, anxiety, scale, samples, university, student",ting factors test anxiety general anxiety question‐ naires manifest anxiety scale samples university student,ting; factors; test; anxiety; general; anxiety; question‐; naires; manifest; anxiety; scale; samples; university; student
Stucki D.R.,CHANGE IN STUDENT ATTITUDES TOWARD INTRODUCTORY PSYCHOLOGY TEXTS,1964,1,"['change', 'student', 'attitudes', 'INTRODUCTORY', 'psychology', 'texts']","['change', 'student', 'attitudes', 'introductory', 'psychology', 'texts']","change, student, attitudes, introductory, psychology, texts",change student attitudes introductory psychology texts,change; student; attitudes; introductory; psychology; texts
Merrtfield P.R.,FACILITATING VS DIFFERENTIATING COMPONENTS OF CREATIVITY,1964,1,"['facilitate', 'VS', 'differentiate', 'component', 'CREATIVITY']","['facilitate', 'vs', 'differentiate', 'component', 'creativity']","facilitate, vs, differentiate, component, creativity",facilitate vs differentiate component creativity,facilitate; vs; differentiate; component; creativity
Millman J.; Lindlof J.,"THE COMPARABILITY OF FIFTH‐GRADE NORMS OF THE CALIFORNIA, lOWA, AND METROPOLITAN ACHIEVEMENT TESTS",1964,1,"['COMPARABILITY', 'fifth‐grade', 'norms', 'CALIFORNIA', 'lowa', 'METROPOLITAN', 'achievement', 'test']","['comparability', 'fifth‐grade', 'norms', 'california', 'lowa', 'metropolitan', 'achievement', 'test']","comparability, fifth‐grade, norms, california, lowa, metropolitan, achievement, test",comparability fifth‐grade norms california lowa metropolitan achievement test,comparability; fifth‐grade; norms; california; lowa; metropolitan; achievement; test
Starkweather E.K.,PROBLEMS IN THE MEASUREMENT OF CREATIVITY IN PRESCHOOL CHILDREN,1964,1,"['problems', 'CREATIVITY', 'PRESCHOOL', 'CHILDREN']","['problems', 'creativity', 'preschool', 'children']","problems, creativity, preschool, children",problems creativity preschool children,problems; creativity; preschool; children
de Jung J.E.,A COMPARISON OF PEER RATINGS MADE AND RECEIVED USING A NON EXPLICIT AND EXPLICIT RATER REFERENCE FRAME INSTRUCTION,1964,1,"['comparison', 'peer', 'RATINGS', 'RECEIVED', 'NON', 'EXPLICIT', 'EXPLICIT', 'RATER', 'REFERENCE', 'FRAME', 'INSTRUCTION']","['comparison', 'peer', 'ratings', 'received', 'non', 'explicit', 'explicit', 'rater', 'reference', 'frame', 'instruction']","comparison, peer, ratings, received, non, explicit, explicit, rater, reference, frame, instruction",comparison peer ratings received non explicit explicit rater reference frame instruction,comparison; peer; ratings; received; non; explicit; explicit; rater; reference; frame; instruction
Mayo S.T.,WHAT EXPERTS THINK TEACHERS OUGHT TO KNOW ABOUT EDUCATIONAL MEASUREMENT,1964,1,"['EXPERTS', 'think', 'teacher', 'ought', 'know', 'EDUCATIONAL']","['experts', 'think', 'teacher', 'ought', 'know', 'educational']","experts, think, teacher, ought, know, educational",experts think teacher ought know educational,experts; think; teacher; ought; know; educational
Michael W.B.,THE REALIZATION OF RELIABLE AND VALID CRITERION MEASURES FOR SPECIAL UNDERGRADUATE PROGRAMS AND COURSES AIMED AT THE DEVELOPMENT AND EXPRESSION OF CREATIVE BEHAVIOR,1964,1,"['realization', 'reliable', 'valid', 'CRITERION', 'MEASURES', 'special', 'undergraduate', 'PROGRAMS', 'course', 'aim', 'DEVELOPMENT', 'expression', 'creative', 'behavior']","['realization', 'reliable', 'valid', 'criterion', 'measures', 'special', 'undergraduate', 'programs', 'course', 'aim', 'development', 'expression', 'creative', 'behavior']","realization, reliable, valid, criterion, measures, special, undergraduate, programs, course, aim, development, expression, creative, behavior",realization reliable valid criterion measures special undergraduate programs course aim development expression creative behavior,realization; reliable; valid; criterion; measures; special; undergraduate; programs; course; aim; development; expression; creative; behavior
